country_code,code,label_fr
FR,4721Z,Commerce de détail de fruits et légumes en magasin spécialisé
FR,4722Z,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé
FR,4723Z,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
FR,4724Z,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
FR,4725Z,Commerce de détail de boissons en magasin spécialisé
FR,4726Z,Commerce de détail de produits à base de tabac en magasin spécialisé
FR,4729Z,Autres commerces de détail alimentaires en magasin spécialisé
FR,4730Z,Commerce de détail de carburants en magasin spécialisé
FR,4741Z,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
FR,4742Z,Commerce de détail de matériels de télécommunication en magasin spécialisé
FR,4743Z,Commerce de détail de matériels audio et vidéo en magasin spécialisé
FR,4751Z,Commerce de détail de textiles en magasin spécialisé
FR,4752A,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)"
FR,4752B,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)"
FR,4753Z,"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
FR,4754Z,Commerce de détail d'appareils électroménagers en magasin spécialisé
FR,4759A,Commerce de détail de meubles
FR,4759B,Commerce de détail d'autres équipements du foyer
FR,4761Z,Commerce de détail de livres en magasin spécialisé
FR,4762Z,Commerce de détail de journaux et papeterie en magasin spécialisé
FR,4763Z,Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé
FR,4764Z,Commerce de détail d'articles de sport en magasin spécialisé
FR,4765Z,Commerce de détail de jeux et jouets en magasin spécialisé
FR,4771Z,Commerce de détail d'habillement en magasin spécialisé
FR,4772A,Commerce de détail de la chaussure
FR,4772B,Commerce de détail de maroquinerie et d'articles de voyage
FR,4773Z,Commerce de détail de produits pharmaceutiques en magasin spécialisé
FR,4774Z,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé
FR,4775Z,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
FR,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé"
FR,4777Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé
FR,4778A,Commerces de détail d'optique
FR,4778B,Commerces de détail de charbons et combustibles
FR,4778C,Autres commerces de détail spécialisés divers
FR,4779Z,Commerce de détail de biens d'occasion en magasin
FR,4781Z,Commerce de détail alimentaire sur éventaires et marchés
FR,4782Z,"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
FR,4789Z,Autres commerces de détail sur éventaires et marchés
FR,4791A,Vente à distance sur catalogue général
FR,4791B,Vente à distance sur catalogue spécialisé
FR,4799A,Vente à domicile
FR,4799B,"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a."
FR,4910Z,Transport ferroviaire interurbain de voyageurs
FR,4920Z,Transports ferroviaires de fret
FR,4931Z,Transports urbains et suburbains de voyageurs
FR,4932Z,Transports de voyageurs par taxis
FR,4939A,Transports routiers réguliers de voyageurs
FR,4939B,Autres transports routiers de voyageurs
FR,4939C,Téléphériques et remontées mécaniques
FR,4941A,Transports routiers de fret interurbains
FR,4941B,Transports routiers de fret de proximité
FR,4941C,Location de camions avec chauffeur
FR,4942Z,Services de déménagement
FR,4950Z,Transports par conduites
FR,5010Z,Transports maritimes et côtiers de passagers
FR,5020Z,Transports maritimes et côtiers de fret
FR,5030Z,Transports fluviaux de passagers
FR,5040Z,Transports fluviaux de fret
FR,5110Z,Transports aériens de passagers
FR,5121Z,Transports aériens de fret
FR,5122Z,Transports spatiaux
FR,5210A,Entreposage et stockage frigorifique
FR,5210B,Entreposage et stockage non frigorifique
FR,5221Z,Services auxiliaires des transports terrestres
FR,5222Z,Services auxiliaires des transports par eau
FR,5223Z,Services auxiliaires des transports aériens
FR,5224A,Manutention portuaire
FR,5224B,Manutention non portuaire
FR,5229A,"Messagerie, fret express"
FR,5229B,Affrètement et organisation des transports
FR,5310Z,Activités de poste dans le cadre d'une obligation de service universel
FR,5320Z,Autres activités de poste et de courrier
FR,5510Z,Hôtels et hébergement similaire
FR,5520Z,Hébergement touristique et autre hébergement de courte durée
FR,5530Z,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
FR,5590Z,Autres hébergements
FR,5610A,Restauration traditionnelle
